iter	Passed	Remaining
848	13490	2399
849	13505	2383
850	13520	2367
851	13533	2350
852	13549	2334
853	13564	2319
854	13580	2303
855	13596	2287
856	13610	2271
857	13622	2254
858	13636	2238
859	13651	2222
860	13677	2208
861	13692	2191
862	13707	2176
863	13724	2160
864	13740	2144
865	13758	2128
866	13776	2113
867	13794	2097
868	13811	2082
869	13824	2065
870	13840	2049
871	13856	2034
872	13872	2018
873	13887	2002
874	13899	1985
875	13915	1969
876	13930	1953
877	13946	1937
878	13961	1921
879	13974	1905
880	13989	1889
881	14003	1873
882	14019	1857
883	14033	1841
884	14049	1825
885	14066	1809
886	14084	1794
887	14098	1778
888	14116	1762
889	14134	1746
890	14148	1730
891	14175	1716
892	14191	1700
893	14206	1684
894	14219	1668
895	14234	1652
896	14251	1636
897	14265	1620
898	14280	1604
899	14294	1588
900	14309	1572
901	14323	1556
902	14339	1540
903	14354	1524
904	14368	1508
905	14381	1492
906	14399	1476
907	14415	1460
908	14430	1444
909	14445	1428
910	14466	1413
911	14494	1398
912	14531	1384
913	14580	1371
914	14610	1357
915	14624	1341
916	14639	1325
917	14655	1309
918	14669	1292
919	14682	1276
920	14698	1260
921	14714	1244
922	14736	1229
923	14763	1214
924	14788	1199
925	14803	1183
926	14818	1166
927	14832	1150
928	14847	1134
929	14862	1118
930	14878	1102
931	14890	1086
932	14906	1070
933	14919	1054
934	14936	1038
935	14950	1022
936	14963	1006
937	14977	989
938	14993	974
939	15009	958
940	15024	942
941	15039	925
942	15055	910
943	15070	894
944	15086	878
945	15102	862
946	15122	846
947	15138	830
948	15153	814
949	15168	798
950	15181	782
951	15193	766
952	15206	749
953	15220	733
954	15236	717
955	15253	702
956	15268	686
957	15283	670
958	15298	654
959	15313	638
960	15328	622
961	15343	606
962	15359	590
963	15374	574
964	15390	558
965	15404	542
966	15418	526
967	15434	510
968	15449	494
969	15463	478
970	15480	462
971	15507	446
972	15532	431
973	15549	415
974	15563	399
975	15575	383
976	15590	367
977	15606	351
978	15621	335
979	15637	319
980	15652	303
981	15667	287
982	15685	271
983	15700	255
984	15717	239
985	15734	223
986	15753	207
987	15768	191
988	15786	175
989	15803	159
990	15818	143
991	15833	127
992	15850	111
993	15864	95
994	15879	79
995	15893	63
996	15907	47
997	15921	31
998	15935	15
999	15952	0
